symbol,datetime,open,high,low,close,volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,VWAP,PSAR,RSI_14,Stoch_K,Stoch_D,Williams_R,CCI,MFI,Momentum_10,ROC_12,OBV,ADL,Volume_SMA_20,Volume_Ratio,ATR,Volatility_20,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_Position,MACD,MACD_Signal,MACD_Histogram,Volatility_High_Band,Volatility_Low_Band,High_Exceedance,Low_Exceedance,Distance_To_High_Pct,Distance_To_Low_Pct,Position_In_Range_Pct,Band_Range,Band_Midpoint,High_Band_Stability,Low_Band_Stability,Signal_Long,Signal_Short,Price_Above_High_Band,Price_Below_Low_Band,Band_Width_Normalized,High_Band_Distance_Normalized,Low_Band_Distance_Normalized,High_Band_SMA_5,Low_Band_SMA_5,Band_Range_SMA_5,High_Band_ROC_5,Low_Band_ROC_5
TSLA,2024-08-07 22:00:00,195.7,200.7,192.04,198.84,65033874,,,,,,198.84,198.84,198.84,197.19333333333336,192.04,,,,,,,,,0,37097844.98383393,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-08 22:00:00,197.05,200.88,195.11,200.0,58648274,,,,,,199.46833333333333,199.4423076923077,199.4316,197.89038593287262,192.2132,,,,,,,,,58648274,77856870.76199688,,,,,,,,,,0.0260256410256261,0.014458689458681166,0.011566951566944934,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-11 22:00:00,199.02,199.26,194.67,197.49,64044903,,,,,,198.6961893764434,198.74086249383936,198.758342887615,197.63438449872984,192.559872,,,,,,,,,-5396629,92507665.565919,,,,,,,,,,-0.04467311739594493,-0.009775657612886903,-0.03489745978305803,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-12 22:00:00,198.47,208.49,197.06,207.83,76247387,,,,,,201.57937643678162,201.281788149074,201.16410935625748,199.60592140427883,192.89267712,,,,,,,,,70850758,159949580.05148333,,,,,,,,,,0.2975882877076117,0.09434492007020881,0.2032433676374029,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-13 22:00:00,207.39,208.44,198.75,201.38,70250014,201.108,,,,,201.52520657147477,201.30456388238824,201.21080938990215,200.2891894860324,193.8285164928,,,,,,,,,600744,127833216.58192703,,,,,,,,,,0.22064268908653162,0.13191565097701594,0.08872703810951568,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-14 22:00:00,205.02,215.88,204.82,214.14,89848530,204.16799999999998,,,,,204.59126503642256,203.87539936497987,203.58678623287565,202.68844084458402,194.708205503232,,,,,,,,,90449274,189411142.2057967,,,,,,,,,,0.7158656714426854,0.2901985735162836,0.42566709792640184,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-15 22:00:00,211.15,219.8,210.8,216.12,88765122,207.392,,,,,207.16386190757908,206.05303811359113,205.59910838508645,204.9186359974011,196.40194906297344,,,,,,,,,179214396,205586119.99246323,,,,,,,,,,1.1108237939879473,0.49787692452889665,0.6129468694590506,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-18 22:00:00,217.07,222.98,214.09,222.72,76435222,212.43800000000002,,,,,210.41018815905974,208.73849865290265,208.0505569352951,206.86577476889448,198.7417541566761,,,,,,,,,255649618,277550440.36816645,,,,,,,,,,1.6716895061570938,0.7799661614446424,0.8917233447124514,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-19 22:00:00,224.88,228.22,219.56,221.1,74001182,215.092,,,,,212.52501342339366,210.57074452380317,209.7430680337158,208.66139886738017,201.65034365787497,,,,,,,,,181648436,229868385.45361668,,,,,,,,,,1.9542688995904882,1.051235919702258,0.9030329798882302,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-20 22:00:00,222.67,224.6594,218.86,223.27,70145964,219.46999999999997,210.289,,,,214.5611842036817,212.3231181816283,211.35193258262012,209.96229898213224,205.37009554577247,,,,,,,,,251794400,266403699.2547686,,,,,,,,,,2.2380660220534025,1.3171547580218064,0.9209112640315962,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-21 22:00:00,223.82,224.8,210.32,210.66,79514482,218.77400000000003,211.471,,,,213.84736155860298,212.1074112265945,211.27571205836608,210.48047568268365,208.56908216936432,,,,,,,11.819999999999993,,172279918,190623322.76305592,,,,,,,,,,1.7399503320084762,1.409660013783207,0.3302903182252692,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-22 22:00:00,214.455,221.48,214.21,220.32,81525207,219.61399999999998,213.50300000000001,,,,214.9981754247203,213.11645715833595,212.2059997263954,211.22690654043623,211.32021066565332,,,,,,,20.319999999999993,,253805125,246132232.61862677,,,,,,,,,,1.881718266384354,1.5110383290832312,0.3706799373011227,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-25 22:00:00,218.75,219.09,211.01,213.21,59301187,217.712,215.075,,,,214.6876802391289,213.1274156853642,212.30309109962002,211.42647699469074,228.22,,,,,,,15.719999999999999,7.22691611345806,194503938,219123771.2126864,,,,,,,,,,1.5602645537646822,1.5214563084945556,0.03880824527012661,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-26 22:00:00,213.25,215.66,206.94,209.21,62821390,215.334,215.21300000000002,,,,213.75500618691976,212.68744328364838,212.0202361843929,211.37560948824665,227.8758,56.565784475117134,47.457158651188536,,-52.542841348811464,,57.67007392829012,1.3799999999999955,4.605000000000004,131682548,189009848.02461314,,,,,,,,,,1.06756290327138,1.4265014694648501,-0.3589385661934701,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-27 22:00:00,209.72,211.84,202.59,205.75,64116350,211.83,215.65,,,,212.4140306096872,211.93698185601127,211.47530261631763,211.09979427901015,227.038368,54.191435157102994,33.02533532041731,,-66.97466467958269,,54.11990217939926,4.3700000000000045,4.182490252671016,67566198,168700560.94353202,,,9.40352857142857,,,,,,,0.47704875367591626,1.2296861011556728,-0.7526373474797565,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-28 22:00:00,209.8,214.89,205.97,206.28,62308818,210.954,214.86399999999998,,,,211.4003336873353,211.34521508287582,211.0443428163625,210.98787208314715,225.57146591999998,53.83863080684596,34.60506706408349,38.362520345229775,-65.39493293591651,,54.41086760687971,-7.859999999999985,-0.7458018572872113,129875016,110722624.91214192,,,9.644242857142856,,,,,,,0.055118604459465814,0.987968866517394,-0.9328502620579282,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-08-29 22:00:00,208.63,214.5701,207.03,214.11,63370608,209.712,214.663,,,,211.8430749657728,211.6258648964689,211.28798853349102,211.03596266807145,224.1925779648,59.53856749311294,54.71758664955075,40.782663011350515,-45.282413350449254,,60.38440625300101,-2.009999999999991,6.321382461018979,193245624,166359431.8376737,,,9.85567857142857,,,,,,,0.21721006930388853,0.8302659531656624,-0.6130558838617739,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-09-02 22:00:00,215.26,219.9043,209.64,210.6,76714222,209.19,213.45100000000002,,,,211.64188564507697,211.52451125334997,211.23542622573902,211.17619489935217,222.89642328691198,51.724996886287194,40.210383440787226,43.177679051473824,-59.789616559212774,,60.5259489798687,-12.120000000000005,-1.6531241244045913,116531402,103995073.56340277,,,9.772414285714285,,,,,,,0.11737439172699737,0.6850720602294332,-0.5676976685024359,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-09-03 22:00:00,210.59,222.22,210.57,219.41,80651767,211.22999999999996,213.282,,,,212.88915957167876,212.28478647069616,211.83757306666942,211.5442703546348,202.59,60.90744101633393,65.62621927428793,53.518063121541964,-34.37378072571207,,67.54313037436025,-1.6899999999999977,1.5223024245789338,197183169,145740151.24666455,,,9.912414285714286,,,,,,,0.604373100982599,0.668696268347369,-0.06432316736476995,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-09-04 22:00:00,223.49,235.0,222.25,230.17,119355013,216.11399999999998,213.97199999999998,212.13049999999998,,,215.64531456312184,213.97149804776404,213.1429915072572,212.96031730085136,202.9826,59.9380037197768,85.09719222462199,63.64459831323237,-14.90280777537801,165.01405459889074,68.72004057445919,6.899999999999977,3.3450071839080406,316538182,174666189.6913702,74154975.8,1.6095347845828574,9.990271428571429,,230.17938038516223,194.08161961483773,212.13049999999998,36.0977607703245,0.9997401394169038,1.6738165153577995,0.872064999585546,0.8017515157722536,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
TSLA,2024-09-05 22:00:00,232.6,233.6,210.51,210.73,112177004,217.004,213.97899999999998,212.725,,,214.865762636955,213.67186282135438,212.97649349891924,213.3343879149046,204.263296,47.25308327387626,25.1157050293119,58.613038842740615,-74.8842949706881,54.73254466440238,59.02245678622866,0.06999999999999318,-4.690185436454096,204361178,64626815.910512656,76512132.3,1.4661335480778386,10.9967,0.6178112766129138,229.68082682023777,195.76917317976222,212.725,33.91165364047555,0.44117066595599885,1.1938998156006164,0.9370311699476191,0.2568686456529973,238.19446321949536,222.12550124507902,0.0,11.615501245079031,170.91622510042652,-70.91622510042652,-70.91622510042652,16.06896197441634,230.15998223228718,0,0,0,1,0,1,0.07625379383294424,0.13033010591513014,-0.05407631208218589,,,,,
